Count,Name,Role
5,Paul Eluard,Surrealist
5,Benjamin Peret,Surrealist
4,Robert Desnos,Surrealist
4,Philippe Soupault,Surrealist
3,Tristan Tzara,Surrealist
3,Max Morise,Surrealist
3,Marcell Noll,Surrealist
3,Marcel Duchamp,Surrealist
3,Louis Aragon,Surrealist
3,Jacques Vache,Surrealist
3,Jacques Baron,Surrealist
3,Francis Picabia,Surrealist
2,Alfred Jarry,Writer
2,Sigmund Freud,Psychologist
2,Roger Vitrac,Surrealist
2,Andre Breton,Surrealist
2,Henri Claude,Psychologist
2,Raymond Poincare,French politician
2,Max Ernst,Surrealist
2,Louis X,French Royalty
2,Jacques Rousseau,Philosopher
2,Isidore Ducasse,Poet
2,Christopher Columbus,Explorer
2,Guillaume Apollinaire,Surrealist
2,Georges Auric,Composer
2,Etienne Dolet,Printer
