docId,filename,﻿Author(s),Title,Genre,No. of pages,Original location,Status,Written (original),Published (translation),0 nadja extremely work,1 cynthia petitdemange amie,2 rue shop metaphysics,3 idea love nature,4 eyes love sea,5 man young woman,6 flowers miss lies,7 mr broom seller,8 décor powder southern,9 woman back time,10 longer colour cries,11 woman child ll,12 man day life,13 surrealism surrealist point,14 sugar stores measures
0,Aragon_ParisPeasant.txt,[filename not found in metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],0.008148544587039981,1.2064866427621023E-6,0.18325533097714752,0.23325414526721303,0.06465919493187612,0.017641207415931722,4.389757001311533E-5,1.9792740750809483E-6,0.05797590162565348,0.22887165223722475,0.014981172417374587,4.268620514956688E-6,0.17649057967341603,2.406857640787286E-4,0.01443023315179814
1,BretonSoupault_TheMagneticFields.txt,[filename not found in metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],2.8713082029633792E-5,4.5626036857182914E-6,1.842658397931154E-5,0.01439234776474954,0.2688839320954048,0.001852597762689336,4.6491021815742595E-4,7.485075151214648E-6,4.757373617881463E-6,0.2656347615553691,0.24795171712634242,1.6142759483757018E-5,0.1506384571323948,1.3503252372802709E-5,0.050087685614572296
2,Breton_ManifestoesOfSurrealism.txt,[filename not found in metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],0.057456351322152294,1.5771491718307994E-6,6.36949287390643E-6,0.07957268099953357,0.05533594127156447,0.02171785070915426,5.723533828316998E-6,2.5873560118274883E-6,1.6444750362643498E-6,0.23404284911707698,4.4465228606035025E-6,0.0021753191619183626,0.33434372277463414,0.21527378419517282,5.915191901033331E-5
3,Breton_MiscellaneousPoetry.txt,[filename not found in metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],2.0370116970457364E-4,3.2368789484876785E-5,0.005432019311565632,0.0013800185719183575,0.4263799179127908,0.24852047912808256,1.1746755786157137E-4,5.310187746670498E-5,3.3750559054718555E-5,0.19975940365938694,0.0011515175557142248,1.1452267596028747E-4,0.11657218233074036,9.579704123427578E-5,1.5375185903418513E-4
4,Breton_Nadja.txt,[filename not found in metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],0.3709546835001804,3.580220972079071E-6,1.317313799973435E-4,0.04835153810169815,0.008929930045908535,4.644438296073905E-5,2.475372733385104E-4,5.922347406509873E-4,3.7330546266968784E-6,0.334156306145937,1.009386726550529E-5,0.00751809155659222,0.22269379188351396,0.0058742087518879995,4.860950944699717E-4
5,Breton_TheExquisiteCorpseItsExaltation.txt,[filename not found in metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],0.010963248447943224,1.0485135508126892E-4,0.02446473150583543,0.20023494641524014,0.05202187273383118,0.16964912649917643,0.055332001205228985,1.7201149311885398E-4,1.0932728433638246E-4,0.17655315238185737,2.9561182649128333E-4,0.007239906705272417,0.2024512763848177,0.09990989147211393,4.980442896553354E-4
6,BunuelDali_UnChienAndalou.txt,[filename not found in metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],1.7120819367327984E-4,2.720554814257397E-5,0.0018921403230342732,2.687538871362416E-4,0.012606865894312326,0.47532726093534555,9.872996029359354E-5,4.463143994175244E-5,2.836690756170941E-5,0.4833565700781855,7.670174382476377E-5,9.62548252139513E-5,0.025795567646195307,8.051617186465674E-5,1.2922644527436187E-4
7,Crevel_Babylon.txt,[filename not found in metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],1.1339320899425987E-5,0.15162635753963533,7.276994806966054E-6,7.682073429840736E-5,0.1632013174392089,5.545621768096374E-4,1.8360154258844055E-4,2.9559929863448694E-6,1.878773795022976E-6,0.16640374497028307,6.410089399340873E-5,0.27097108318500096,0.24688106893441128,5.332681168922157E-6,8.558820113799224E-6
8,Desnos_ThePunishmentsOfHell.txt,[filename not found in metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],1.8681534033151494E-5,2.9685575357796524E-6,1.198885077432501E-5,2.2379903918132252E-4,0.18165274800261583,3.302201650965118E-4,0.36085676086661894,4.869999188307144E-6,3.09528029973044E-6,0.4342020834189972,8.369378865119252E-6,1.0502930698054083E-5,0.018567077599719664,8.785593566737177E-6,0.004098048782809489
9,Eluard_LettersToGala.txt,[filename not found in metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],0.0012447004607222137,1.733461811905294E-5,7.000778908758947E-5,0.03026494365929423,0.7387986572111868,0.05416641298972346,6.290798294633372E-5,2.843791139363262E-5,1.807460401914124E-5,0.015561427774513699,4.887221647951371E-5,6.133089575905051E-5,0.15952324972845947,5.130266386721691E-5,8.2339494428647E-5
10,Eluard_ShadowAndSun.txt,[filename not found in metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],1.372151660110454E-4,2.1803943635598207E-5,0.0015164598315709054,2.1539336668598063E-4,0.7257332876908259,0.01099586775015872,7.912733381091477E-5,3.576996117724559E-5,2.27347175785747E-5,0.0260013874448053,6.147277350718408E-5,7.714363160854828E-5,0.2349342377280819,6.452985486235516E-5,1.0356880567980793E-4
11,Peret_DeathToThePigs.txt,[filename not found in metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],[missing metadata],0.003942266339109196,2.7864800933590814E-6,1.1253510710930327E-5,7.577090862025558E-4,0.1559073686900299,1.2742039251282812E-4,1.0112241353656562E-5,0.37769144108503655,2.9054302753475783E-6,0.3225039024760234,7.856040289045648E-6,9.858730026053319E-6,0.07748576597259799,8.246726326504289E-6,0.061531106799412746
