Temp,Run,Sample,Word Count,Top 15 most frequent words,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.2,1,1,845,hand square freedom love country feeling human long makes shadow world add adventure afraid bataclan,hand,square,freedom,love,country,feeling,human,long,makes,shadow,world,add,adventure,afraid,bataclan
0.2,1,2,835,concrete form savages viola expression poetry sense book poet ages believe consider ideas image lend,concrete,form,savages,viola,expression,poetry,sense,book,poet,ages,believe,consider,ideas,image,lend
0.2,1,3,860,room brass hands reproduction loved monastery bird bring drawing hand little opening right surrealism way,room,brass,hands,reproduction,loved,monastery,bird,bring,drawing,hand,little,opening,right,surrealism,way
0.2,1,4,749,sea mannequin armor art best body globe singing state gonna key mannequinsorves old people run,sea,mannequin,armor,art,best,bosy,globe,singing,state,gonna,key,mannequinsorves,old,people,run
0.2,1,5,819,street high shall la like rue square young armee grande history it's lower man mar,street,high,shall,la,like,rue,square,young,armee,grande,history,it's,lower,man,mar
0.2,1,6,582,infinite lungs light madness seed hungry know woman asked eyes kisses life man presence shade,infinite,lungs,light,madness,seed,hungry,know,woman,asked,eyes,kisses,life,man,presence,shade
0.2,1,7,837,far negro grandfather grandmother life mother woman course beautiful chose come imaginary machine miracle multicolored,far,negro,grandfather,grandmother,life,mother,woman,course,beautiful,chose,come,imaginary,machine,miracle,multicolored
0.2,1,8,361,passan pomped unreadable belief closed eye appearance mind madame pompadour adventure great just mind's regular,passan,pomped,unreadable,belief,closed,eye,appearance,mind,madame,pompadour,adventure,great,just,mind's,regular
0.2,2,1,853,letters love things unexpected wanted day dream loved certain song approaches cherished expected letter mind's ,letters,love,things,unexpected,wanted,day,dream,loved,certain,song,approaches,cherished,expected,letter,mind's
0.2,2,2,843,man today hair like comb come desirable eiffel german it's long magistrate paris tower,man,today,hair,like,comb,come,desireable,eiffel,german,it's,long,magistrate,paris,tower,
0.2,2,3,792,bit man black flower just bank criminal fake globe great little long priests real shirt,bit,mannequin,black,flower,just,bank,criminal,fake,globe,great,little,long,priests,real,shirt
0.2,2,4,834,method simple things vinegar surrealists better little mental new pathetically time great like wrong accept,method,simple,things,vinegar,surrealists,better,little,mental,new,pathetically,time,great,like,wrong,accept
0.2,2,5,744,colour leaves thirst learning beat thin red free far line wall flowers glaze month reshapes,,,,,,,,,,,,,,,
0.2,2,6,847,man time woman hand laughs moment single make silence stops talk books colour crowds goes,,,,,,,,,,,,,,,
0.2,2,7,832,grandmother know mother life old remember visiting dad doing middle sister spook went women age,,,,,,,,,,,,,,,
0.2,2,8,750,new face people empty coffin magic spent age circle delegated evening old power table villa,,,,,,,,,,,,,,,
0.5,1,1,838,sky want let clear aware feel head raises woman able arrested charged crosierous day dead,,,,,,,,,,,,,,,
0.5,1,2,848,armor combatant door adopted arms direction great life open sexes slabs british city counted darkness,,,,,,,,,,,,,,,
0.5,1,3,851,historical rat film little bed films lacked late mediocre republic second shop spirit girl innocent,,,,,,,,,,,,,,,
0.5,1,4,769,man breath gloomy conspiracy eyes good heavy woman closed going great harder object shutters absent,,,,,,,,,,,,,,,
0.5,2,1,779,flip hop long manifesto perfume beard cup little man fliees sobs came following i'll left,,,,,,,,,,,,,,,
0.5,2,2,792,written stomach water mauritanian agent chemical seed captain luminous death garlic pose word aragon rose,,,,,,,,,,,,,,,
0.5,2,3,798,certa marvel old beautiful moments seen women city language life like marvelous mazda absolute actor,,,,,,,,,,,,,,,
0.5,2,4,665,night oh real sad trunks pretty axis flowers traceries happens leave left nadja right ask,,,,,,,,,,,,,,,
0.5,2,5,818,paris bordeaux smell boy conceived duality explain god good just speak absence andre believe believed,,,,,,,,,,,,,,,
0.5,2,6,836,manifesto sample words written fleece jacket sun america color inside little signed sucker beasts canvas ,,,,,,,,,,,,,,,
0.5,2,7,875,reference hope idea just surrealism way arms concrete great know law parties read revolutionary slogans ,,,,,,,,,,,,,,,
0.5,2,8,856,factors music become best change date longer becomes circumstances people role time watching angle bring,,,,,,,,,,,,,,,
0.8,1,1,773,like fish green city curve house sea way astronomical black blue endoftext hat looking phenomenon,,,,,,,,,,,,,,,
0.8,1,2,839,fool man thought long matter better longer modern old son time way white youth belly,,,,,,,,,,,,,,,
0.8,1,3,843,compass listen set time voice en horses necessary notion word 1129 1150 1175 1250 aware,,,,,,,,,,,,,,,
0.8,1,4,816,hair lacking stage best didn't little prose single sort taught word writing act artful berkeley ,,,,,,,,,,,,,,,
0.8,1,5,842,day game grew man old sped voice brother days eyes longer lost night sang speaks,,,,,,,,,,,,,,,
0.8,1,6,808,pretty pink able blonde brave date eye it's just light make meet mouth red thighs,,,,,,,,,,,,,,,
0.8,1,7,744,going like silence endoftext room sky alight comments depths eyes mystery seen sun think turn,,,,,,,,,,,,,,,
0.8,1,8,831,biennium dog eye general goal joules liter awareness beauty believe colour coloured costs doubt fact,,,,,,,,,,,,,,,
0.8,2,1,781,hunters pirates treasure who've tomorrow mirrors end fantastic forgotten high meet moment today veils activity,,,,,,,,,,,,,,,
0.8,2,2,734,bleu cordon father plus attitude good law little son bandits child compelled customs family letter,,,,,,,,,,,,,,,
0.8,2,3,760,exhibition aussi disgust man santeoun word second accidents bornemis boy costume like parents beard behind,,,,,,,,,,,,,,,
0.8,2,4,826,country war desnos great civil coal ireland mr parties party square absolutely betray britain,,,,,,,,,,,,,,,
0.8,2,5,786,party people good great live man bad communist facilities local long poor squirrel west awakening,,,,,,,,,,,,,,,
0.8,3,1,801,battle fifties smoke green dead dead death ignited kerosene love war child eyes justice living long,,,,,,,,,,,,,,,
0.8,3,2,820,god sleep cynthia sea bracelet man babylon love sleeps water depths earth person waves way,,,,,,,,,,,,,,,
0.8,3,3,817,wave beard man like long stretched pupil right got grass leg sprinter's clouds concentrating entire,,,,,,,,,,,,,,,
0.8,3,4,813,beard wild dishes man reflector coat long madman real speech years 1927 age avoid better,,,,,,,,,,,,,,,
0.8,3,5,760,little cumulative law place prefer profits 1875 bit broome like 1909 1924 broomstick building cannon,,,,,,,,,,,,,,,
0.8,3,6,798,dental phonograph emperor good lids little andre animals derision finger head it's object place policeman,,,,,,,,,,,,,,,
0.8,3,7,853,boat little fish trying life bird looking river absolute friends idea like state able age,,,,,,,,,,,,,,,
0.8,3,8,806,little child common know books boys café counry elbows goose inside left make necessary noise,,,,,,,,,,,,,,,
